specimen_id,order,family,genus,species ,synonym,life_stage,lens,volume_mm3,area_mm2,breadth_mm,length_mm,width_mm,thickness_mm,flatness,anisotropy,elongation,sphericity ,eye_diameter_mm,axial_length_mm,lens_to_retina_mm,lens_diameter_mm,lens_depth_mm,sv_length_mm,stain,scan_type,adult_ecology,adult_ecology_2,ae_certainty,ae_source,activity_period,ap_source,ap_certainty ,comments,scan_source,scan_technician
USNM205175,anura,bufonidae,anaxyrus,woodhousii,bufo_woodhousii,adult,left,24.6119,43.1067,3.92392,4.05906,3.3325,,0.665843,0.343305,0.986262,0.949226,,,,,,88.18,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),nocturnal,Dodd (2013),certain,,NMNH,Dr_Molly_Womack
USNM205175,anura,bufonidae,anaxyrus,woodhousii,bufo_woodhousii,adult,right,25.0474,43.3222,3.8145,4.09069,3.32478,,0.727476,0.334962,0.914173,0.955612,,,,,,88.18,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),nocturnal,Dodd (2013),certain,,NMNH,Dr_Molly_Womack
KU-H-220984,anura,aromobatidae,aromobates,nocturnus,aromobates_nocturnus,adult,right,12.5764,27.2421,3.15878,3.25769,2.63463,2.59397,0.657677,0.371106,0.956235,0.960023,6.4,5.7,4.7,3.15,2.42,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,"AmphibiaWeb (2020), IUCN (2020)",nocturnal,AmphibiaWeb (2020),certain,,MorphoSource,
KU-H-220984,anura,aromobatidae,aromobates,nocturnus,aromobates_nocturnus,adult,left,12.7846,27.4216,3.17175,3.33849,2.58413,2.51987,0.619118,0.417229,0.941292,0.964234,6.3,NA,NA,NA,NA,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,"AmphibiaWeb (2020), IUCN (2020)",nocturnal,AmphibiaWeb (2020),certain,"eye, cornea damaged, lens position shifted",MorphoSource,
Ataneri_CAS168823,anura,arthtoleptidae,arthroleptis,tanneri,arthroleptis_tanneri,adult,right,20.6879,37.9761,3.66368,3.74123,3.147,3.14684,0.721063,0.300363,0.970286,0.959662,5.4,5.8,4.9,3.58,2.77,,iodine,dice_ct,subfossorial,terrestrial ,somewhat certain,IUCN (2020),diurnal,SPL (pers. comm) ,somewhat certain,,MorphoSource,
Ataneri_CAS168823,anura,arthtoleptidae,arthroleptis,tanneri,arthroleptis_tanneri,adult,left,20.0457,36.8904,3.64534,3.71533,3.11608,3.09132,0.702554,0.323594,0.962781,0.967354,5.3,5.7,4.7,3.47,2.76,,iodine,dice_ct,subfossorial,terrestrial ,somewhat certain,IUCN (2020),diurnal,SPL (pers. comm) ,somewhat certain,,MorphoSource,
UF80664,anura,ascaphidae,ascaphus,truei,ascaphus truei,adult,left,6.16951,16.8491,2.35595,2.50115,2.11601,,0.762663,0.309626,0.905215,0.965475,,,,,,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,Adams and Frissell (2001); Adams and Pearl 2005,nocturnal,Anderson and Wiens (2017); Adams and Pearl 2005,certain,,MorphoSource,
UF80664,anura,ascaphidae,ascaphus,truei,ascaphus truei,adult,right,6.13108,16.8237,2.36796,2.50101,2.09853,,0.755427,0.31566,0.905899,0.962913,,,,,,,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,Adams and Frissell (2001); Adams and Pearl 2005,nocturnal,Anderson and Wiens (2017); Adams and Pearl 2005,certain,,MorphoSource,
MVZ191001,anura,ascaphidae,ascaphus,montanus,ascaphus_montanus,adult,left,7.49276,19.5437,2.61768,2.70398,2.22852,2.18778,0.697504,0.329522,0.961253,0.947486,4.8,4.2,3.3,2.57,2.05,37.8,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,AmphibiaWeb (2020); Fouquette 2005; Dodd 2013,nocturnal,AmphibiaWeb (2020),certain,,NMNH,Dr_Molly_Womack
MVZ191001,anura,ascaphidae,ascaphus,montanus,ascaphus_montanus,adult,right,7.25512,19.2618,2.61285,2.70307,2.19217,2.1958,0.701008,0.331117,0.954172,0.940914,4.8,4.2,3.4,2.4,2,37.8,unstained,micro_ct,semi-aquatic,semi-aquatic,somewhat certain,AmphibiaWeb (2020); Fouquette 2005; Dodd 2013,nocturnal,AmphibiaWeb (2020),certain,,NMNH,Dr_Molly_Womack
